   team_id    |                     name                     | sport_name |                             logo                             
 145          | Ole Miss Rebels                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/145.png
 147          | Montana State Bobcats                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/147.png
 149          | Montana Grizzlies                            | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
 150          | Duke Blue Devils                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
 152          | NC State Wolfpack                            | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/152.png
 153          | North Carolina Tar Heels                     | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
 155          | North Dakota Fighting Hawks                  | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/155.png
 156          | Creighton Bluejays                           | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/156.png
 158          | Nebraska Cornhuskers                         | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/158.png
 160          | New Hampshire Wildcats                       | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/160.png
 161          | Fairleigh Dickinson Knights                  | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/161.png
 183          | Syracuse Orange                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/183.png
 189          | Bowling Green Falcons                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/189.png
 193          | Miami (OH) RedHawks                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
 194          | Ohio State Buckeyes                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
 197          | Oklahoma State Cowboys                       | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/197.png
 2010         | Alabama A&M Bulldogs                         | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
 2011         | Alabama State Hornets                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
 2026         | App State Mountaineers                       | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
 2029         | Arkansas-Pine Bluff Golden Lions             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
 2031         | Little Rock Trojans                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png
 2032         | Arkansas State Red Wolves                    | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
 2046         | Austin Peay Governors                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
 2065         | Bethune-Cookman Wildcats                     | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png
 2066         | Binghamton Bearcats                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png
 2097         | Campbell Fighting Camels                     | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
 2110         | Central Arkansas Bears                       | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
 2115         | Central Connecticut Blue Devils              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
 213          | Penn State Nittany Lions                     | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/213.png
 2130         | Chicago State Cougars                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png
 2132         | Cincinnati Bearcats                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
 2172         | Denver Pioneers                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2172.png
 2182         | Drexel Dragons                               | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png
 2197         | Eastern Illinois Panthers                    | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png
 222          | Villanova Wildcats                           | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
 2229         | Florida International Panthers               | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
 2239         | Cal State Fullerton Titans                   | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png
 2241         | Gardner-Webb Runnin' Bulldogs                | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
 2247         | Georgia State Panthers                       | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
 2250         | Gonzaga Bulldogs                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
 2261         | Hampton Pirates                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
 227          | Rhode Island Rams                            | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/227.png
 2272         | High Point Panthers                          | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png
 2275         | Hofstra Pride                                | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png
 2294         | Iowa Hawkeyes                                | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
 2305         | Kansas Jayhawks                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
 2306         | Kansas State Wildcats                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
 232          | Charleston Cougars                           | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/232.png
 233          | South Dakota Coyotes                         | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/233.png
 2330         | Le Moyne Dolphins                            | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2330.png
 2335         | Liberty Flames                               | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
 2344         | Longwood Lancers                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2344.png
 2349         | UMass Lowell River Hawks                     | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png
 235          | Memphis Tigers                               | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
 236          | Chattanooga Mocs                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/236.png
 2378         | UMBC Retrievers                              | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png
 238          | Vanderbilt Commodores                        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/238.png
 2382         | Mercer Bears                                 | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png
 2385         | Mercyhurst Lakers                            | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2385.png
 2390         | Miami Hurricanes                             | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
 2400         | Mississippi Valley State Delta Devils        | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png
 2405         | Monmouth Hawks                               | NCAAB      | https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
