   team_id    |                     name                     | sport_name 
 NCAAF-138    | Northwest Missouri St Bearcats               | NCAAF
 NCAAF-77     | Northwestern Wildcats                        | NCAAF
 NCAAF-87     | Notre Dame Fighting Irish                    | NCAAF
 NCAAF-145    | Ole Miss Rebels                              | NCAAF
 NCAAF-95     | Pikeville Bears                              | NCAAF
 NCAAF-90     | Pittsburg St Gorillas                        | NCAAF
 NCAAF-29     | Redlands Bulldogs                            | NCAAF
 NCAAF-86     | Rose-Hulman Fightin' Engineers               | NCAAF
 NCAAF-16     | Sacramento State Hornets                     | NCAAF
 NCAAF-129    | Saginaw Valley State Cardinals               | NCAAF
 NCAAF-21     | San Diego State Aztecs                       | NCAAF
 NCAAF-23     | San José State Spartans                      | NCAAF
 NCAAF-6      | South Alabama Jaguars                        | NCAAF
 NCAAF-58     | South Florida Bulls                          | NCAAF
 NCAAF-79     | Southern Illinois Salukis                    | NCAAF
 NCAAF-81     | Springfield Pride                            | NCAAF
 NCAAF-133    | St. Olaf Oles                                | NCAAF
 NCAAF-24     | Stanford Cardinal                            | NCAAF
 NCAAF-56     | Stetson Hatters                              | NCAAF
 NCAAF-119    | Towson Tigers                                | NCAAF
 NCAAF-112    | Tufts Jumbos                                 | NCAAF
 NCAAF-5      | UAB Blazers                                  | NCAAF
 NCAAF-26     | UCLA Bruins                                  | NCAAF
 NCAAF-41     | UConn Huskies                                | NCAAF
 NCAAF-30     | USC Trojans                                  | NCAAF
 NCAAF-89     | Wabash College Little Giants                 | NCAAF
 NCAAF-143    | Washington University (St. Louis) Bears      | NCAAF
 NCAAF-131    | Wayne State (MI) Warriors                    | NCAAF
 NCAAF-98     | Western Kentucky Hilltoppers                 | NCAAF
 NCAAF-43     | Yale Bulldogs                                | NCAAF
 NHL-25       | Anaheim Ducks                                | NHL
 NHL-1        | Boston Bruins                                | NHL
 NHL-2        | Buffalo Sabres                               | NHL
 NHL-3        | Calgary Flames                               | NHL
 NHL-7        | Carolina Hurricanes                          | NHL
 NHL-4        | Chicago Blackhawks                           | NHL
 NHL-17       | Colorado Avalanche                           | NHL
 NHL-29       | Columbus Blue Jackets                        | NHL
 NHL-9        | Dallas Stars                                 | NHL
 NHL-5        | Detroit Red Wings                            | NHL
 NHL-6        | Edmonton Oilers                              | NHL
 NHL-26       | Florida Panthers                             | NHL
 NHL-8        | Los Angeles Kings                            | NHL
 NHL-30       | Minnesota Wild                               | NHL
 NHL-10       | Montreal Canadiens                           | NHL
 NHL-27       | Nashville Predators                          | NHL
 NHL-11       | New Jersey Devils                            | NHL
 NHL-12       | New York Islanders                           | NHL
 NHL-13       | New York Rangers                             | NHL
 NHL-14       | Ottawa Senators                              | NHL
 NHL-15       | Philadelphia Flyers                          | NHL
 NHL-16       | Pittsburgh Penguins                          | NHL
 NHL-18       | San Jose Sharks                              | NHL
 NHL-124292   | Seattle Kraken                               | NHL
 NHL-19       | St. Louis Blues                              | NHL
 NHL-20       | Tampa Bay Lightning                          | NHL
 NHL-21       | Toronto Maple Leafs                          | NHL
 NHL-129764   | Utah Mammoth                                 | NHL
 NHL-22       | Vancouver Canucks                            | NHL
 NHL-37       | Vegas Golden Knights                         | NHL
 NHL-23       | Washington Capitals                          | NHL
 NHL-28       | Winnipeg Jets                                | NHL
 EPL-349      | AFC Bournemouth                              | EPL
 EPL-359      | Arsenal                                      | EPL
 EPL-362      | Aston Villa                                  | EPL
 EPL-337      | Brentford                                    | EPL
 EPL-331      | Brighton & Hove Albion                       | EPL
 EPL-379      | Burnley                                      | EPL
 EPL-363      | Chelsea                                      | EPL
 EPL-384      | Crystal Palace                               | EPL
 EPL-368      | Everton                                      | EPL
 EPL-370      | Fulham                                       | EPL
 EPL-357      | Leeds United                                 | EPL
 EPL-364      | Liverpool                                    | EPL
 EPL-382      | Manchester City                              | EPL
 EPL-360      | Manchester United                            | EPL
 EPL-361      | Newcastle United                             | EPL
 EPL-393      | Nottingham Forest                            | EPL
 EPL-366      | Sunderland                                   | EPL
 EPL-367      | Tottenham Hotspur                            | EPL
 EPL-371      | West Ham United                              | EPL
 EPL-380      | Wolverhampton Wanderers                      | EPL
 NBA-99       | Test Team                                    | NBA
 NCAAB-2272   | NCAAB Team 2272                              | NCAAB
 SOCCER-380   | NBA Team 380                                 | SOCCER
 NCAAB-2181   | NCAAB Team 2181                              | NCAAB
 NBA-111136   | NBA Team 111136                              | NBA
 NCAAF-2483   | NCAAF Team 2483                              | NCAAF
 NCAAF-2132   | NCAAF Team 2132                              | NCAAF
 NCAAF-194    | NCAAF Team 194                               | NCAAF
 NCAAF-254    | NCAAF Team 254                               | NCAAF
 NCAAF-356    | NCAAF Team 356                               | NCAAF
 NCAAF-248    | NCAAF Team 248                               | NCAAF
 NCAAB-2464   | NCAAB Team 2464                              | NCAAB
 NCAAF-228    | NCAAF Team 228                               | NCAAF
 NCAAB-350    | NCAAB Team 350                               | NCAAB
 NCAAF-167    | NCAAF Team 167                               | NCAAF
 NCAAF-2439   | NCAAF Team 2439                              | NCAAF
 NCAAF-2655   | NCAAF Team 2655                              | NCAAF
 NCAAF-235    | NCAAF Team 235                               | NCAAF
 NCAAB-2413   | NCAAB Team 2413                              | NCAAB
 NCAAF-309    | NCAAF Team 309                               | NCAAF
 NCAAF-259    | NCAAF Team 259                               | NCAAF
 NCAAF-197    | NCAAF Team 197                               | NCAAF
 NCAAF-276    | NCAAF Team 276                               | NCAAF
 NCAAB-2229   | NCAAB Team 2229                              | NCAAB
 NCAAF-2433   | NCAAF Team 2433                              | NCAAF
 235          | Memphis Tigers                               | NCAAB
 NCAAF-204    | NCAAF Team 204                               | NCAAF
 NCAAF-2305   | NCAAF Team 2305                              | NCAAF
 NBA_1        | Atlanta Hawks                                | 
 NCAAB-309    | NCAAB Team 309                               | NCAAB
 259          | Virginia Tech Hokies                         | 
 SOCCER-337   | Brentford                                    | SOCCER
 254          | Utah Utes                                    | 
 NCAAB-2441   | NCAAB Team 2441                              | NCAAB
 2752         | Xavier Musketeers                            | 
 NCAAF-218    | NCAAF Team 218                               | NCAAF
 NCAAF-2382   | NCAAF Team 2382                              | NCAAF
 NCAAF-322    | NCAAF Team 322                               | NCAAF
 NBA_2        | Boston Celtics                               | 
 NCAAF-2747   | NCAAF Team 2747                              | NCAAF
 NBA_17       | Brooklyn Nets                                | 
 NCAAF-2630   | NCAAF Team 2630                              | NCAAF
 NCAAF-2277   | NCAAF Team 2277                              | NCAAF
 NCAAF-257    | NCAAF Team 257                               | NCAAF
 NCAAF-2771   | NCAAF Team 2771                              | NCAAF
 NCAAB-259    | NBA Team 259                                 | NCAAB
 38           | Colorado Buffaloes                           | 
 NCAAB-2752   | NBA Team 2752                                | NCAAB
 NCAAB-2057   | NCAAB Team 2057                              | NCAAB
 SOCCER-361   | NBA Team 361                                 | SOCCER
 NBA-131570   | NBA Team 131570                              | NBA
 NCAAF-2567   | NCAAF Team 2567                              | NCAAF
 NCAAB-2182   | NCAAB Team 2182                              | NCAAB
 NCAAB-2623   | NCAAB Team 2623                              | NCAAB
 NCAAF-154    | NCAAF Team 154                               | NCAAF
 NCAAF-251    | NCAAF Team 251                               | NCAAF
 NCAAF-2628   | NCAAF Team 2628                              | NCAAF
 NCAAF-290    | NCAAF Team 290                               | NCAAF
 NCAAF-249    | NCAAF Team 249                               | NCAAF
 NCAAF-349    | NCAAF Team 349                               | NCAAF
 NCAAF-2229   | NCAAF Team 2229                              | NCAAF
 NCAAF-195    | NCAAF Team 195                               | NCAAF
 NCAAF-245    | NCAAF Team 245                               | NCAAF
 NCAAF-152    | NCAAF Team 152                               | NCAAF
 NCAAB-2066   | NCAAB Team 2066                              | NCAAB
 NCAAF-2653   | NCAAF Team 2653                              | NCAAF
 NCAAB-2127   | NCAAB Team 2127                              | NCAAB
 NCAAF-2429   | NCAAF Team 2429                              | NCAAF
 NCAAF-2226   | NCAAF Team 2226                              | NCAAF
 NCAAF-2247   | NCAAF Team 2247                              | NCAAF
 NCAAF-202    | NCAAF Team 202                               | NCAAF
 NCAAB-2473   | NCAAB Team 2473                              | NCAAB
 SOCCER-357   | Leeds United                                 | SOCCER
 NCAAF-153    | NCAAF Team 153                               | NCAAF
 SOCCER-382   | Manchester City                              | SOCCER
 NCAAF-2084   | NCAAF Team 2084                              | NCAAF
 NCAAF-189    | NCAAF Team 189                               | NCAAF
 NCAAB-2086   | Butler Bulldogs                              | NCAAB
 NCAAF-231    | NCAAF Team 231                               | NCAAF
 NCAAB-282    | NCAAB Team 282                               | NCAAB
 NCAAB-2458   | NCAAB Team 2458                              | NCAAB
 NCAAF-2097   | NCAAF Team 2097                              | NCAAF
 NCAAF-2569   | NCAAF Team 2569                              | NCAAF
 NCAAB-2130   | NCAAB Team 2130                              | NCAAB
 NCAAB-311    | NCAAB Team 311                               | NCAAB
 NCAAF-311    | NCAAF Team 311                               | NCAAF
 NCAAF-2729   | NCAAF Team 2729                              | NCAAF
 NCAAF-2466   | NCAAF Team 2466                              | NCAAF
 NCAAF-2198   | NCAAF Team 2198                              | NCAAF
 NCAAF-2582   | NCAAF Team 2582                              | NCAAF
 NCAAF-2755   | NCAAF Team 2755                              | NCAAF
 NCAAF-2193   | NCAAF Team 2193                              | NCAAF
 NCAAB-338    | NCAAB Team 338                               | NCAAB
 NCAAF-2717   | NCAAF Team 2717                              | NCAAF
 SOCCER-371   | SOCCER Team 371                              | SOCCER
 NCAAF-2428   | NCAAF Team 2428                              | NCAAF
 NCAAF-2127   | NCAAF Team 2127                              | NCAAF
 NCAAB-2641   | Texas Tech Red Raiders                       | NCAAB
 NCAAB-88     | NCAAB Team 88                                | NCAAB
 NCAAF-331    | NCAAF Team 331                               | NCAAF
 SOCCER-366   | SOCCER Team 366                              | SOCCER
 NCAAF-233    | NCAAF Team 233                               | NCAAF
 NCAAF-2523   | NCAAF Team 2523                              | NCAAF
 NCAAB-249    | NCAAB Team 249                               | NCAAB
 NCAAF-236    | NCAAF Team 236                               | NCAAF
 NCAAF-2320   | NCAAF Team 2320                              | NCAAF
 NCAAF-2210   | NCAAF Team 2210                              | NCAAF
 NCAAB-2330   | NCAAB Team 2330                              | NCAAB
 NCAAB-2885   | NBA Team 2885                                | NCAAB
 NCAAB-2172   | NCAAB Team 2172                              | NCAAB
 NCAAB-2344   | NCAAB Team 2344                              | NCAAB
 NCAAB-2393   | NBA Team 2393                                | NCAAB
 NCAAB-2771   | NCAAB Team 2771                              | NCAAB
 NCAAB-2427   | NCAAB Team 2427                              | NCAAB
 NCAAB-2174   | NBA Team 2174                                | NCAAB
 NCAAB-112358 | NBA Team 112358                              | NCAAB
 NCAAB-2275   | NBA Team 2275                                | NCAAB
 NCAAB-2572   | NCAAB Team 2572                              | NCAAB
 NCAAB-2247   | NBA Team 2247                                | NCAAB
 NCAAB-324    | NBA Team 324                                 | NCAAB
 NCAAB-2000   | NCAAB Team 2000                              | NCAAB
 NCAAB-2630   | NBA Team 2630                                | NCAAB
 NCAAB-2710   | NCAAB Team 2710                              | NCAAB
 NCAAB-235    | NBA Team 235                                 | NCAAB
 NCAAB-2634   | NBA Team 2634                                | NCAAB
 NCAAB-2239   | NBA Team 2239                                | NCAAB
